point,floor,X,Y,Z
1,4,0,17.15,-3.6
2,4,3,17.15,-3.6
3,4,6,17.15,-3.6
4,4,9,17.15,-3.6
5,4,12,17.15,-3.6
6,4,15,17.15,-3.6
7,4,18,17.15,-3.6
8,4,21,17.15,-3.6
9,4,24,17.15,-3.6
10,4,27,17.15,-3.6
11,4,30,17.15,-3.6
12,4,33,17.15,-3.6
13,4,36,17.15,-3.6
14,4,39,17.15,-3.6
15,4,42,17.15,-3.6
16,4,45,17.15,-3.6
17,4,48,17.15,-3.6
18,4,51,17.15,-3.6
19,4,54,17.15,-3.6
20,4,57,17.15,-3.6
21,4,60,17.15,-3.6
22,4,63,17.15,-3.6
23,4,66,17.15,-3.6
24,4,69,17.15,-3.6
25,4,72,17.15,-3.6
26,4,75,17.15,-3.6
27,4,78,17.15,-3.6
28,4,81,17.15,-3.6
29,4,84,17.15,-3.6
30,4,87,17.15,-3.6
31,4,90,17.15,-3.6
32,4,93,17.15,-3.6
33,4,96,17.15,-3.6
34,4,99,17.15,-3.6
35,4,102,17.15,-3.6
36,4,105,17.15,-3.6
37,4,108,17.15,-3.6
38,4,110.27,17.15,-3.6
39,4,112.19,17.15,-3.6
40,4,114.11,17.15,-3.6
41,4,116.02,17.15,-3.6
42,4,117.95,17.15,-3.6
43,4,120.2,17.15,-3.6
44,4,123.2,17.15,-3.6
45,4,126.2,17.15,-3.6
46,4,129.2,17.15,-3.6
47,4,132.2,17.15,-3.6
48,4,135.2,17.15,-3.6
49,4,138.2,17.15,-3.6
50,4,141.2,17.15,-3.6
51,4,144.2,17.15,-3.6
52,4,147.2,17.15,-3.6
53,4,150.2,17.15,-3.6
54,4,153.2,17.15,-3.6
55,4,156.2,17.15,-3.6
56,4,159.2,17.15,-3.6
57,4,162.2,17.15,-3.6
58,4,165.2,17.15,-3.6
59,4,168.2,17.15,-3.6
60,4,171.2,17.15,-3.6
61,4,174.2,17.15,-3.6
62,4,177.2,17.15,-3.6
63,4,180.2,17.15,-3.6
64,4,183.2,17.15,-3.6
65,4,186.2,17.15,-3.6
66,4,189.2,17.15,-3.6
67,4,192.2,17.15,-3.6
68,4,195.2,17.15,-3.6
69,4,198.2,17.15,-3.6
70,4,201.2,17.15,-3.6
71,4,204.2,17.15,-3.6
72,4,207.2,17.15,-3.6
74,4,213.2,17.15,-3.6
75,4,216.2,17.15,-3.6
76,4,219.2,17.15,-3.6
77,4,222.2,17.15,-3.6
78,4,102,20.05,-3.6
79,4,105,20.05,-3.6
80,4,108,20.05,-3.6
81,4,110.27,20.05,-3.6
82,4,112.19,20.05,-3.6
83,4,114.11,20.05,-3.6
84,4,116.02,20.05,-3.6
85,4,117.95,20.05,-3.6
86,4,120.2,20.05,-3.6
87,4,123.2,20.05,-3.6
88,4,126.2,20.05,-3.6
89,4,102,23.25,-3.6
90,4,105,23.25,-3.6
91,4,108,23.25,-3.6
92,4,110.27,23.25,-3.6
93,4,112.19,23.25,-3.6
94,4,114.11,23.25,-3.6
95,4,116.02,23.25,-3.6
96,4,117.95,23.25,-3.6
97,4,120.2,23.25,-3.6
100,4,102,26.45,-3.6
101,4,105,26.45,-3.6
102,4,108,26.45,-3.6
103,4,110.27,26.45,-3.6
104,4,112.19,26.45,-3.6
105,4,114.11,26.45,-3.6
106,4,116.02,26.45,-3.6
107,4,117.95,26.45,-3.6
108,4,120.2,26.45,-3.6
111,4,31.5,41.6,-5.4
112,4,70.5,41.6,-5.4
113,4,111.1,43.1,-5.4
114,4,114.1,43.1,-5.4
115,4,117.1,43.1,-5.4
116,4,157.7,41.6,-5.4
117,4,196.7,41.6,-5.4
118,4,31.5,44.6,-5.4
119,4,70.5,44.6,-5.4
120,4,111.1,45.9,-5.4
121,4,114.1,45.9,-5.4
122,4,117.1,45.9,-5.4
123,4,120.2,47.5,-5.4
124,4,123.2,47.5,-5.4
125,4,126.2,47.5,-5.4
126,4,129.2,47.5,-5.4
127,4,132.2,47.5,-5.4
128,4,157.7,44.6,-5.4
129,4,196.7,44.6,-5.4
130,4,31.5,47.6,-5.4
131,4,70.5,47.6,-5.4
132,4,111.1,49.1,-5.4
133,4,114.1,49.1,-5.4
134,4,117.1,49.1,-5.4
135,4,157.7,47.6,-5.4
136,4,196.7,47.6,-5.4
137,4,31.5,50.6,-5.4
138,4,70.5,50.6,-5.4
139,4,111.1,52,-5.4
140,4,114.1,52,-5.4
141,4,117.1,52,-5.4
142,4,157.7,50.6,-5.4
143,4,196.7,50.6,-5.4
144,4,31.5,53.6,-5.4
145,4,70.5,53.6,-5.4
146,4,157.7,53.6,-5.4
147,4,196.7,53.6,-5.4
148,4,30,55.1,-5.4
149,4,33,55.1,-5.4
150,4,36,55.1,-5.4
151,4,39,55.1,-5.4
152,4,41.67,55.1,-5.4
153,4,44.34,55.1,-5.4
154,4,47.01,55.1,-5.4
155,4,49.68,55.1,-5.4
156,4,52.35,55.1,-5.4
157,4,55.02,55.1,-5.4
158,4,57.69,55.1,-5.4
159,4,60.36,55.1,-5.4
160,4,63,55.1,-5.4
161,4,66,55.1,-5.4
162,4,69,55.1,-5.4
163,4,72,55.1,-5.4
164,4,75,55.1,-5.4
165,4,78,55.1,-5.4
166,4,80.7,55.1,-5.4
167,4,83.4,55.1,-5.4
168,4,86.1,55.1,-5.4
169,4,88.8,55.1,-5.4
170,4,91.5,55.1,-5.4
171,4,93,55.1,-5.4
172,4,96,55.1,-5.4
173,4,99,55.1,-5.4
174,4,102,55.1,-5.4
175,4,105,55.1,-5.4
176,4,108,55.1,-5.4
177,4,111.1,55.1,-5.4
178,4,114.1,55.1,-5.4
179,4,117.1,55.1,-5.4
180,4,120.2,55.1,-5.4
181,4,123.2,55.1,-5.4
182,4,126.2,55.1,-5.4
183,4,129.2,55.1,-5.4
184,4,132.2,55.1,-5.4
185,4,133.55,55.1,-5.4
186,4,136.25,55.1,-5.4
187,4,138.95,55.1,-5.4
188,4,141.65,55.1,-5.4
189,4,144.35,55.1,-5.4
190,4,147.05,55.1,-5.4
191,4,150.2,55.1,-5.4
192,4,153.2,55.1,-5.4
193,4,156.2,55.1,-5.4
194,4,159.2,55.1,-5.4
195,4,162.2,55.1,-5.4
196,4,165.2,55.1,-5.4
197,4,167.87,55.1,-5.4
198,4,170.54,55.1,-5.4
199,4,173.21,55.1,-5.4
200,4,175.88,55.1,-5.4
201,4,178.55,55.1,-5.4
202,4,181.22,55.1,-5.4
203,4,183.89,55.1,-5.4
204,4,186.56,55.1,-5.4
205,4,189.2,55.1,-5.4
206,4,192.2,55.1,-5.4
207,4,195.2,55.1,-5.4
208,4,198.2,55.1,-5.4
209,4,31.5,56.6,-5.4
210,4,70.5,56.6,-5.4
211,4,157.7,56.6,-5.4
212,4,196.7,56.6,-5.4
213,4,31.5,59.6,-5.4
214,4,70.5,59.6,-5.4
215,4,157.7,59.6,-5.4
216,4,196.7,59.6,-5.4
217,4,31.5,62.6,-5.4
219,4,157.7,62.6,-5.4
220,4,196.7,62.6,-5.4
221,4,31.5,65.6,-5.4
222,4,70.5,65.6,-5.4
223,4,157.7,65.6,-5.4
224,4,196.7,65.6,-5.4
225,4,31.5,68.6,-5.4
226,4,70.5,68.6,-5.4
227,4,157.7,68.6,-5.4
228,4,196.7,68.6,-5.4
229,4,31.5,71.6,-5.4
230,4,70.5,71.6,-5.4
231,4,157.7,71.6,-5.4
232,4,196.7,71.6,-5.4
233,4,31.5,74.6,-5.4
234,4,70.5,74.6,-5.4
235,4,157.7,74.6,-5.4
236,4,196.7,74.6,-5.4
237,4,31.5,77.6,-5.4
238,4,70.5,77.6,-5.4
239,4,157.7,77.6,-5.4
240,4,196.7,77.6,-5.4
241,4,31.5,80.6,-5.4
242,4,70.5,80.6,-5.4
243,4,157.7,80.6,-5.4
244,4,196.7,80.6,-5.4
245,4,31.5,83.6,-5.4
246,4,70.5,83.6,-5.4
247,4,157.7,83.6,-5.4
248,4,196.7,83.6,-5.4
249,4,31.5,86.6,-5.4
250,4,70.5,86.6,-5.4
251,4,157.7,86.6,-5.4
252,4,196.7,86.6,-5.4
253,4,31.5,89.6,-5.4
254,4,70.5,89.6,-5.4
255,4,157.7,89.6,-5.4
256,4,196.7,89.6,-5.4
257,4,31.5,92.6,-5.4
258,4,70.5,92.6,-5.4
259,4,157.7,92.6,-5.4
260,4,196.7,92.6,-5.4
261,4,133.7,58.1,-5.4
262,4,133.7,61.1,-5.4
263,4,133.7,64.1,-5.4
264,4,133.7,67.1,-5.4
265,4,94.5,67.1,-5.4
266,4,94.5,64.1,-5.4
267,4,94.5,61.1,-5.4
268,4,94.5,58.1,-5.4
269,5,0,17.15,0
270,5,3,17.15,0
271,5,6,17.15,0
272,5,9,17.15,0
273,5,12,17.15,0
274,5,15,17.15,0
275,5,18,17.15,0
276,5,21,17.15,0
277,5,24,17.15,0
278,5,27,17.15,0
279,5,30,17.15,0
280,5,33,17.15,0
281,5,36,17.15,0
282,5,39,17.15,0
283,5,42,17.15,0
284,5,45,17.15,0
285,5,48,17.15,0
286,5,51,17.15,0
287,5,54,17.15,0
288,5,57,17.15,0
289,5,60,17.15,0
290,5,63,17.15,0
291,5,66,17.15,0
292,5,69,17.15,0
293,5,72,17.15,0
294,5,75,17.15,0
295,5,78,17.15,0
296,5,81,17.15,0
297,5,84,17.15,0
298,5,87,17.15,0
299,5,90,17.15,0
300,5,93,17.15,0
301,5,96,17.15,0
302,5,99,17.15,0
303,5,102,17.15,0
304,5,105,17.15,0
305,5,108,17.15,0
306,5,110.27,17.15,0
307,5,112.19,17.15,0
308,5,114.11,17.15,0
309,5,116.02,17.15,0
310,5,117.95,17.15,0
311,5,120.2,17.15,0
312,5,123.2,17.15,0
313,5,126.2,17.15,0
314,5,129.2,17.15,0
315,5,132.2,17.15,0
316,5,135.2,17.15,0
317,5,138.2,17.15,0
318,5,141.2,17.15,0
319,5,144.2,17.15,0
320,5,147.2,17.15,0
321,5,150.2,17.15,0
322,5,153.2,17.15,0
323,5,156.2,17.15,0
324,5,159.2,17.15,0
325,5,162.2,17.15,0
326,5,165.2,17.15,0
327,5,168.2,17.15,0
328,5,171.2,17.15,0
329,5,174.2,17.15,0
330,5,177.2,17.15,0
331,5,180.2,17.15,0
332,5,183.2,17.15,0
333,5,186.2,17.15,0
334,5,189.2,17.15,0
335,5,192.2,17.15,0
336,5,195.2,17.15,0
337,5,198.2,17.15,0
338,5,201.2,17.15,0
339,5,204.2,17.15,0
340,5,207.2,17.15,0
341,5,210.2,17.15,0
342,5,213.2,17.15,0
343,5,216.2,17.15,0
344,5,219.2,17.15,0
345,5,222.2,17.15,0
346,5,225.2,17.15,0
347,5,228.2,17.15,0
348,5,102,19.45,0
349,5,105,19.45,0
350,5,108,19.45,0
351,5,110.27,19.45,0
352,5,112.19,19.45,0
353,5,114.11,19.45,0
354,5,116.02,19.45,0
355,5,117.95,19.45,0
356,5,120.2,19.45,0
357,5,123.2,19.45,0
358,5,126.2,19.45,0
359,5,102,22.25,0
360,5,105,22.25,0
361,5,108,22.25,0
362,5,110.27,22.25,0
363,5,112.19,22.25,0
364,5,114.11,22.25,0
365,5,116.02,22.25,0
366,5,117.95,22.25,0
367,5,120.2,22.25,0
368,5,123.2,22.25,0
369,5,126.2,22.25,0
370,5,102,25.05,0
371,5,105,25.05,0
372,5,108,25.05,0
373,5,110.27,25.05,0
374,5,112.19,25.05,0
375,5,114.11,25.05,0
376,5,116.02,25.05,0
377,5,117.95,25.05,0
378,5,120.2,25.05,0
379,5,123.2,25.05,0
380,5,126.2,25.05,0
381,5,31.5,41.6,-1.8
382,5,70.5,41.6,-1.8
383,5,111.1,43.1,-1.8
384,5,114.1,43.1,-1.8
385,5,117.1,43.1,-1.8
386,5,157.7,41.6,-1.8
387,5,196.7,41.6,-1.8
388,5,31.5,44.6,-1.8
389,5,70.5,44.6,-1.8
390,5,111.1,45.9,-1.8
391,5,114.1,45.9,-1.8
392,5,117.1,45.9,-1.8
393,5,120.2,47.5,-1.8
394,5,123.2,47.5,-1.8
399,5,196.7,44.6,-1.8
400,5,31.5,47.6,-1.8
401,5,70.5,47.6,-1.8
